problem_link,all_attempts,successful_attempts
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a4cffffbad70416bafa2b5a67525c1c8/d07c2c0ac7bb4a328545827e192e5b52/,10,3
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a4cffffbad70416bafa2b5a67525c1c8/c9f95fe64ee144b493b8b3864bb0581a/,182,160
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/e0d796766693492face446db21392cbb/ef103cec2d9f4787857e0001559569a6/,30,21
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/9fbe3b3f0d55488b8287412f935981d6/01e4e7833f2746faa6ad2d5d2ab4f9b4/,133,127
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b66d79f0b8ca4b78bc2de7b9555d7286/a5db68bf79e944419d52014684b6f719/,124,93
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/14190293cbc540feb11490a690e39cc1/34d9bc5232ff4fcdbf3ec691447a5be4/,69,62
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/f2d9d5651e64479b8aece0048a66db87/97db5f63cbc54030a471753d0cd14332/,33,11
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b8f2ca7be6ba4412964f1b2803e33bc6/3ad687a87ed5456fb03022b08598f646/3,76,34
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/1f04e176f3ab4e57aa8279610f03fc06/080cb770c2974b679b8b326e0bc0d0fa/,141,137
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/38719609bff540739be088c7e325eb95/6d5c7518d2a249f1a6479ffefe788094/,61,51
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/999ad798797b4a3a9623b8fee69b05b0/bbe2eeca956c4c6b8a317fb14fcab07c/,120,65
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/68b4180d60b8412d8da23484f370bd02/a069095d9ede4b8ea2d92ababd6e5a31/,248,140
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/e0d796766693492face446db21392cbb/ef103cec2d9f4787857e0001559569a6/,39,25
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/5967a352d9f4470ab988ac44f81e268d/4684cc57487a4f9ea4a2a0d7eef42655/,88,57
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/68b4180d60b8412d8da23484f370bd02/a069095d9ede4b8ea2d92ababd6e5a31/,193,118
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/cff236d4fb7c43e98ac5bf4aa7ded990/c7b3dabbea574ae9a4896d239e33cdcf/,83,72
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/0bbb69c3f41b46acbd92369f05d1e85f/49a4ad64116149e3802ccab9b335e2a6/,90,52
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/14190293cbc540feb11490a690e39cc1/34d9bc5232ff4fcdbf3ec691447a5be4/,142,51
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/14190293cbc540feb11490a690e39cc1/9480a56a077c4a759c5965e77170d99f/,81,53
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/38719609bff540739be088c7e325eb95/6d5c7518d2a249f1a6479ffefe788094/,47,44
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a4cffffbad70416bafa2b5a67525c1c8/d07c2c0ac7bb4a328545827e192e5b52/1,13,5
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b66d79f0b8ca4b78bc2de7b9555d7286/a5db68bf79e944419d52014684b6f719/,109,95
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/1f04e176f3ab4e57aa8279610f03fc06/080cb770c2974b679b8b326e0bc0d0fa/,136,129
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a4cffffbad70416bafa2b5a67525c1c8/d07c2c0ac7bb4a328545827e192e5b52/1,20,3
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/0bbb69c3f41b46acbd92369f05d1e85f/49a4ad64116149e3802ccab9b335e2a6/,63,56
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/cbf1ecb85bf7450fb4ec716fe59f0f03/f70d5986af0843a5ba1be40b5d52ea3e/,101,90
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/cbf1ecb85bf7450fb4ec716fe59f0f03/f70d5986af0843a5ba1be40b5d52ea3e/,161,80
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/cff236d4fb7c43e98ac5bf4aa7ded990/c7b3dabbea574ae9a4896d239e33cdcf/,62,49
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/f2d9d5651e64479b8aece0048a66db87/6a566d1371964028a8d0841f83b919b7/2,43,23
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/38719609bff540739be088c7e325eb95/6d5c7518d2a249f1a6479ffefe788094/,69,43
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a0cba4be6c4641b68e4b64eefa7c9b9b/8684cd0ad5f9412e9cfd495126aa2495/,42,25
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/1f04e176f3ab4e57aa8279610f03fc06/080cb770c2974b679b8b326e0bc0d0fa/,154,88
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a0cba4be6c4641b68e4b64eefa7c9b9b/42a28f08e32e4fc5825cde1447faf61a/1,29,9
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/9fbe3b3f0d55488b8287412f935981d6/9e6c016f23e140de94d55f5537790e7e/,248,142
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/1f04e176f3ab4e57aa8279610f03fc06/080cb770c2974b679b8b326e0bc0d0fa/,191,92
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b66d79f0b8ca4b78bc2de7b9555d7286/a5db68bf79e944419d52014684b6f719/,134,96
