problem_link,all_attempts,successful_attempts
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@8aa870f48d374d86ba5b80d1a89b6d34,10,6
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@bbcfd7539404426fbdacc05deae9afc4,2,1
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@462e1576d6a149dd99e4b4ab72658bbf,82,37
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@67038e1c0217434cb9e111288d9363ef,132,98
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@c17a9b98628e4c8c9d4eb755ef781770,2,2
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@4f308da2d7e84a2887a1271f5fd4378e,7,5
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@1ed0edd23a3548b4b60a2ef4fbaecf7f,7,4
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@6fee8b0a9b394140a533d2bd728dce72,2,1
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@9ca9b1d80dcd41598cf5f443a98eafa2,51,42
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@6fee8b0a9b394140a533d2bd728dce72,1,1
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@ccb1d70b556f4be9ac11c4fcdab19c43,4,3
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@43e608b1f0394928b287d23cb5e5707a,47,17
