video_id,video_link,views_count,unique_students_count,popular_fragments
91386ca0c3744624bf50826df9ec265b,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/e71eb50ddf6e4f759a76f6c13441ede9/cb6523d05390460ba4863213951b86c5/1,620,63,"(195, 208)","(215, 351)"
5566d5f40a74428aaebf930cae82310b,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/0bbb69c3f41b46acbd92369f05d1e85f/49a4ad64116149e3802ccab9b335e2a6/,868,56,"(115, 204)"
02f09525562b40c59be5be1787ab7789,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/0bbb69c3f41b46acbd92369f05d1e85f/49a4ad64116149e3802ccab9b335e2a6/6,1912,58,"(280, 445)"
065a83ef037f4d93920660e0f817b40a,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/0bbb69c3f41b46acbd92369f05d1e85f/49a4ad64116149e3802ccab9b335e2a6/,986,56,"(130, 221)"
a6651c513032466db0e8d410966173dc,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/81c17e483fbe41e697993ca413332e72/ab944340649f42fcb070deace49d1e95/1,266,11,"(487, 656)"
f140c0addb69457b8cd128c423598e90,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/e0d796766693492face446db21392cbb/ef103cec2d9f4787857e0001559569a6/,405,19,"(262, 288)","(289, 364)"
1d66f71848b7405d89fd77efcdaad8b8,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/e71eb50ddf6e4f759a76f6c13441ede9/cb6523d05390460ba4863213951b86c5/1,711,66,"(245, 394)"
64a62c1d218445469d7a56fd60ef2d14,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b8f2ca7be6ba4412964f1b2803e33bc6/3ad687a87ed5456fb03022b08598f646/,633,49,"(135, 209)"
f3ebcdaaec154ce290928fdc0d1dca40,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/0bbb69c3f41b46acbd92369f05d1e85f/403fc3ffa3ec4b1fa0b28151f302e369/,1063,63,"(257, 275)","(280, 465)"
b270b82d916d4b49bd03bc64bc8b08f0,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a1cc086a5cf34dcaae06eb6f0ba39f4f/c7f80c840c03431f87b53c5029b02686/1,577,37,"(490, 572)"
d9e5332ae1004ac5b651eac02d3cd2c6,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b8f2ca7be6ba4412964f1b2803e33bc6/75516ca1a9de4da99228ec3c029749c1/,1180,63,"(132, 219)"
76f4282526a14b99a699af7aec7cdb00,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/e71eb50ddf6e4f759a76f6c13441ede9/cb6523d05390460ba4863213951b86c5/,586,62,"(113, 241)"
18737181a8a74ba7969cd4a03a1cb4a0,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/81c17e483fbe41e697993ca413332e72/a0fdf7f36aab4847ab8f0381c27b333f/,173,10,"(244, 614)"
40b9875cada941dc8af77d2bbbc05871,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/14190293cbc540feb11490a690e39cc1/9480a56a077c4a759c5965e77170d99f/,362,42,"(208, 381)"
4b0f1020e5574adc82fb28e7ba18c77c,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/5967a352d9f4470ab988ac44f81e268d/140309fa25ab4594b2fa728294a07e3c/,944,52,"(265, 436)"
0376a59fe198434e84cf8abbc87d10f1,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/0bbb69c3f41b46acbd92369f05d1e85f/403fc3ffa3ec4b1fa0b28151f302e369/,593,50,"(90, 154)"
58afa421c77e40319d40313c9786f2cf,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/e71eb50ddf6e4f759a76f6c13441ede9/cb6523d05390460ba4863213951b86c5/1,529,66,"(45, 101)"
c926ef44c2fd4ac9b24ed6e5db14cc5d,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a1cc086a5cf34dcaae06eb6f0ba39f4f/c7f80c840c03431f87b53c5029b02686/,364,36,"(197, 265)"
2661f98a7a234199b28e35b446e851db,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/81c17e483fbe41e697993ca413332e72/a0fdf7f36aab4847ab8f0381c27b333f/,246,13,"(455, 574)"
f0ed8fdfaa0b49899b0f6618e155e5bd,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/f2d9d5651e64479b8aece0048a66db87/d0e62a6e6653488eb0f104346bb53507/,307,24,"(618, 808)"
7ed8d5cae4ad459698317ca9f8de9825,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b8f2ca7be6ba4412964f1b2803e33bc6/33096dc4c8d64d46937f3abe7a6bb0bc/,839,61,"(115, 218)"
ba1398728d3f406c82b1a1b3ebc7f235,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a1cc086a5cf34dcaae06eb6f0ba39f4f/c7f80c840c03431f87b53c5029b02686/,519,38,"(160, 222)"
